"Scenario","Strategy","N_reps","miss_rate_Y1__mean","miss_rate_Y1__sd","miss_rate_Y1__p25","miss_rate_Y1__p75","miss_rate_Y2__mean","miss_rate_Y2__sd","miss_rate_Y2__p25","miss_rate_Y2__p75","miss_rate_Y3__mean","miss_rate_Y3__sd","miss_rate_Y3__p25","miss_rate_Y3__p75","pw_bias_Y1__mean","pw_bias_Y1__sd","pw_bias_Y1__p25","pw_bias_Y1__p75","pw_bias_Y2__mean","pw_bias_Y2__sd","pw_bias_Y2__p25","pw_bias_Y2__p75","pw_bias_Y3__mean","pw_bias_Y3__sd","pw_bias_Y3__p25","pw_bias_Y3__p75","pw_rmse_Y1__mean","pw_rmse_Y1__sd","pw_rmse_Y1__p25","pw_rmse_Y1__p75","pw_rmse_Y2__mean","pw_rmse_Y2__sd","pw_rmse_Y2__p25","pw_rmse_Y2__p75","pw_rmse_Y3__mean","pw_rmse_Y3__sd","pw_rmse_Y3__p25","pw_rmse_Y3__p75","pw_coverage_Y1__mean","pw_coverage_Y1__sd","pw_coverage_Y1__p25","pw_coverage_Y1__p75","pw_coverage_Y2__mean","pw_coverage_Y2__sd","pw_coverage_Y2__p25","pw_coverage_Y2__p75","pw_coverage_Y3__mean","pw_coverage_Y3__sd","pw_coverage_Y3__p25","pw_coverage_Y3__p75","mean_bias_Y1__mean","mean_bias_Y1__sd","mean_bias_Y1__p25","mean_bias_Y1__p75","mean_bias_Y2__mean","mean_bias_Y2__sd","mean_bias_Y2__p25","mean_bias_Y2__p75","mean_bias_Y3__mean","mean_bias_Y3__sd","mean_bias_Y3__p25","mean_bias_Y3__p75","var_ratio_Y1__mean","var_ratio_Y1__sd","var_ratio_Y1__p25","var_ratio_Y1__p75","var_ratio_Y2__mean","var_ratio_Y2__sd","var_ratio_Y2__p25","var_ratio_Y2__p75","var_ratio_Y3__mean","var_ratio_Y3__sd","var_ratio_Y3__p25","var_ratio_Y3__p75","cor_bias_rho12__mean","cor_bias_rho12__sd","cor_bias_rho12__p25","cor_bias_rho12__p75","cor_bias_rho13__mean","cor_bias_rho13__sd","cor_bias_rho13__p25","cor_bias_rho13__p75","cor_bias_rho23__mean","cor_bias_rho23__sd","cor_bias_rho23__p25","cor_bias_rho23__p75","cor_imp_rho12__mean","cor_imp_rho12__sd","cor_imp_rho12__p25","cor_imp_rho12__p75","cor_imp_rho13__mean","cor_imp_rho13__sd","cor_imp_rho13__p25","cor_imp_rho13__p75","cor_imp_rho23__mean","cor_imp_rho23__sd","cor_imp_rho23__p25","cor_imp_rho23__p75","cor_true_rho12__mean","cor_true_rho12__sd","cor_true_rho12__p25","cor_true_rho12__p75","cor_true_rho13__mean","cor_true_rho13__sd","cor_true_rho13__p25","cor_true_rho13__p75","cor_true_rho23__mean","cor_true_rho23__sd","cor_true_rho23__p25","cor_true_rho23__p75"
"Miss_Lev_1","Global",100,0.0506176880341334,0.00533983522125474,0.0469327146033813,0.0539135488737611,0.14540394238688,0.00903824354195094,0.140208418331823,0.150682277628032,0.239219279642834,0.00996530221923936,0.232005962359615,0.245841422377532,0.201248806808846,1.14566395492935,-0.438433264386287,0.752712004273478,0.0394394497570073,0.96398254951753,-0.313887342071769,0.426140203207408,-0.191470939137782,1.09898476588588,-0.74371457201771,0.271428077609255,5.84277842108007,2.33141863308558,4.24260537554914,6.4521769954978,4.86937177038234,2.33710136171277,3.20517846715228,5.88117503091855,6.61041927370639,3.46053858304569,4.46738043186453,7.93717636043165,0.696571514131527,0.201889206572751,0.555538302277433,0.909579589216945,0.698711069462195,0.197277240242931,0.586645555798209,0.926294297950957,0.684460446356306,0.23897092115742,0.573946461701564,0.933005952380952,0.0102918673634985,0.0571293003466786,-0.0209612291895727,0.0362614470602497,0.00617606154565767,0.141412000021143,-0.0470320407654894,0.0609757223856926,-0.0449363831029039,0.262531339597186,-0.180071682601239,0.0644895442182574,1.00935083557894,0.0475847004770876,0.984624528433995,1.01472955564895,1.01733821182701,0.149523764028061,0.952805232363433,1.02152161792524,1.13853375935449,0.352452238155515,0.951272729050819,1.13439077774709,0.0127744469618723,0.0255662189804919,4.37619702207685e-05,0.0221456376985674,0.0193298051637454,0.0449981103050616,-0.0109251245000722,0.0498243513705163,-0.0746250759390228,0.187207085080791,-0.224388907901564,0.0858560431810163,-0.115304755946138,0.0606378083069956,-0.154452739501262,-0.0839759206937105,-0.0953350626447383,0.0766247327596044,-0.132547696164656,-0.039396995803205,0.20987677362718,0.191022408386264,0.0657984241908155,0.360824538479413,-0.128079202908011,0.0625366532678754,-0.164287219222615,-0.0798569711160066,-0.114664867808484,0.0698254850857021,-0.158485037183324,-0.0658058945780508,0.284501849566203,0.0665019635510086,0.237264951850184,0.334326125904679
"Miss_Lev_1","SiteLocal",100,0.0506176880341334,0.00533983522125474,0.0469327146033813,0.0539135488737611,0.14540394238688,0.00903824354195094,0.140208418331823,0.150682277628032,0.239219279642834,0.00996530221923936,0.232005962359615,0.245841422377532,-0.0121115792140855,0.281586781515268,-0.176523993721969,0.161162976013919,0.00476684691652784,0.0990620625049421,-0.0680979453590363,0.0611137454479643,-0.0136128214699857,0.0640124149312402,-0.0599974896094373,0.0347627445382271,2.72961407486772,0.309468890762996,2.54071118346452,2.91768428895829,1.38262434650098,0.135733726627172,1.28808274266224,1.46941432181181,0.998163119416627,0.0970205669158093,0.9250140369453,1.07256634292538,0.486844036877908,0.0628169001080322,0.443798449612403,0.52649359886202,0.48042522233793,0.0392173799996269,0.456288309247908,0.50645390070922,0.469251510604334,0.0293758282420526,0.447009689274975,0.489261687079524,-0.000751404652980995,0.0142197022204143,-0.00870196690781315,0.0080088310405643,0.000757577463934216,0.0143424165254048,-0.00995246452460384,0.00942327821621108,-0.00335047176973608,0.0152094179778274,-0.0141451476607982,0.00798493565540165,0.996065393803698,0.00622396530003466,0.992718806717889,1.00041770374259,0.989688927491073,0.00600895872733411,0.984918236441055,0.994287858157003,0.989248858645555,0.00548904357004529,0.985969154649779,0.99269774573838,0.00347480303337869,0.0038395692323778,0.00113648041600245,0.0062120531508554,0.00135185131959686,0.00419712807151989,-0.00134790099209387,0.00400901844442653,-0.000993215507891184,0.00379673615759146,-0.00329104980706282,0.00165802706778746,-0.124604399874632,0.0626295845319763,-0.162721858912424,-0.0770901805328398,-0.113313016488887,0.0705322478160171,-0.159424550311616,-0.0636062469206804,0.283508634058312,0.0665033398540715,0.237915491916073,0.332904912890877,-0.128079202908011,0.0625366532678754,-0.164287219222615,-0.0798569711160066,-0.114664867808484,0.0698254850857021,-0.158485037183324,-0.0658058945780508,0.284501849566203,0.0665019635510086,0.237264951850184,0.334326125904679
"Miss_Lev_2","Global",100,0.0810891085799092,0.00700148113526195,0.0763220035778175,0.0854954709745129,0.230695144258268,0.0112971856878469,0.22370793510792,0.237924356345409,0.306661870369163,0.0121265098824993,0.298889980851747,0.315174342754402,-0.00320411191019118,1.17752471337891,-0.626206568750404,0.52189227901256,0.0499653307598205,1.17199047063665,-0.528373553894144,0.607467926910756,-0.0573322012384872,0.940596440267651,-0.563873775409909,0.365355298942638,6.06716281190375,2.3793461477723,4.28093435093524,6.82699986423632,5.65056338042786,2.40012423976668,4.1816338311669,6.19847440461736,6.30645965815449,2.71383109171491,4.44444677165159,7.66308370148738,0.668468646972022,0.192060398967401,0.539377289377289,0.779341221618164,0.706891977132693,0.198127780422452,0.580923466713262,0.907525504831386,0.698711262771028,0.175964344628498,0.589739308533137,0.80275,-0.000787823768635205,0.0952047167962185,-0.0504525973153765,0.0409032631736769,0.0123441711380416,0.273305066520674,-0.121202086550982,0.138269501938356,-0.0174808804191692,0.286066631336453,-0.170016747695449,0.111219664964357,1.02448763973988,0.0791938492900479,0.981698208409953,1.04168038711137,1.08551836030451,0.271294080762523,0.938434079172462,1.10895379666598,1.10449587885002,0.262269175008466,0.945790188168841,1.12974797741448,0.015029046628011,0.0524772143395384,-0.0134415089384761,0.0333063266849172,0.0113618878170481,0.0695985273973137,-0.0378484042884875,0.0648491455564353,-0.107636905914759,0.2641837088562,-0.277674341905743,0.112725100010787,-0.10356657235353,0.0729691610279492,-0.159168339822846,-0.0466716506786497,-0.107208971180945,0.0840818428658523,-0.175868656688169,-0.0478141551327916,0.167729522543929,0.27692942254753,-0.0353307005542503,0.384543195687501,-0.118595618981541,0.0722947495622422,-0.167528431595795,-0.0638247667217904,-0.118570858997994,0.052663900147583,-0.159093395494159,-0.0821885284021555,0.275366428458688,0.0626890166100759,0.235535655623503,0.31823793155943
"Miss_Lev_2","SiteLocal",100,0.0810891085799092,0.00700148113526195,0.0763220035778175,0.0854954709745129,0.230695144258268,0.0112971856878469,0.22370793510792,0.237924356345409,0.306661870369163,0.0121265098824993,0.298889980851747,0.315174342754402,0.0621078147932023,0.285005404946173,-0.0936790664693598,0.277927356274123,-0.0131434268939751,0.0885142637701201,-0.0751366437616061,0.0528269643232706,-0.00685608805867744,0.0636133910926923,-0.0518544997618295,0.0361281793961799,2.98420274082798,0.230468153787666,2.85231368497399,3.146227566661,1.56500996243014,0.118533482859942,1.47399266672844,1.63839469470805,1.16744983330123,0.130091825885319,1.08835038353042,1.23790933409242,0.497288562560822,0.0481544142945376,0.466525423728814,0.527568366592757,0.489621547488756,0.0269278842473379,0.47442931321642,0.506934885391107,0.479443244485313,0.0283546588937607,0.459716916446273,0.495105602899125,0.00514756644888119,0.0225284381905734,-0.00760216832809368,0.0226204056705898,-0.00294166887910681,0.0205658255192128,-0.0177903706088271,0.0121760429945433,-0.00212374072376585,0.0194904793914001,-0.0155496508962943,0.0106228629830545,0.991069998141589,0.00771732528118602,0.98655815047903,0.996262093340566,0.982217360443921,0.00853690469647224,0.976664309465933,0.988671451456687,0.983404097627582,0.0100377436188888,0.978587466159062,0.989332624611855,0.00674210770069728,0.00496194003847476,0.00290028711069448,0.0102677794628009,0.0039490480743822,0.00571982668399663,-1.31492221735266e-05,0.00786800733997765,-0.00188261024034854,0.00558290154948058,-0.00612858545213302,0.00124049227599086,-0.111853511280844,0.0726749179914529,-0.161549839254388,-0.0545431646821807,-0.114621810923611,0.0538993152435586,-0.157537491693723,-0.0767940961142387,0.273483818218339,0.0634679417668598,0.232137987012729,0.314728026597037,-0.118595618981541,0.0722947495622422,-0.167528431595795,-0.0638247667217904,-0.118570858997994,0.052663900147583,-0.159093395494159,-0.0821885284021555,0.275366428458688,0.0626890166100759,0.235535655623503,0.31823793155943
"Miss_Lev_3","Global",100,0.126075396612429,0.00778270361892487,0.121335203629236,0.130619692446861,0.339866011442702,0.0131316668476442,0.33096102003072,0.348265829669286,0.358709945955356,0.0128431365048431,0.350720955101265,0.36927313302386,0.0598975583048181,1.0538214103023,-0.296462206847759,0.624362487327044,-0.0956558712445761,1.24579447610981,-0.582591877275459,0.489360252390484,-0.128289326196791,0.946459967283921,-0.673484748727673,0.273227734288427,6.04814182167852,2.50023953056402,4.55380084170348,6.82392257726694,5.87729931297686,2.68581880624051,4.24066724636968,6.57406126618039,6.17492137832461,2.94806706476998,4.64322360621299,6.50632433695693,0.670572057287277,0.194913853282432,0.519852583269592,0.776926054974835,0.703240693847365,0.21994471932698,0.580583954423069,0.928618087772623,0.691900529329203,0.194200287469191,0.563317103472544,0.899312784217301,0.00828225102615014,0.132049103537427,-0.0364227866172787,0.0758790736788482,-0.0338528672453591,0.420600311420201,-0.19965046845058,0.167849719959589,-0.0439273459687115,0.339773988696492,-0.232670612608706,0.0997711813108415,1.03578126743508,0.139562142513503,0.960742220711331,1.03903941337389,1.08888641926262,0.410855092083601,0.856547241391868,1.10278211475427,1.10538920443885,0.399921021686872,0.91689133117336,1.1036446917602,0.0465849923983106,0.0690463784130671,0.00132795013346331,0.0853015161798304,0.0126021071267335,0.0962767747472559,-0.0595569844532929,0.0718675915824478,-0.152414032918163,0.289827802424247,-0.372600588810369,0.0889811006698518,-0.0683562061049197,0.0916525467998902,-0.128315076977718,-0.00623504753338163,-0.101504289760366,0.106159065809434,-0.169940889947145,-0.0224093785120954,0.13502869294809,0.301647096542006,-0.0985742637538926,0.385081001480987,-0.11494119850323,0.0682192456142748,-0.152708423956737,-0.073089740465733,-0.1141063968871,0.0585476630124091,-0.153571259631171,-0.0803189517742015,0.287442725866253,0.0575430104479418,0.250250820884476,0.333550768767281
"Miss_Lev_3","SiteLocal",100,0.126075396612429,0.00778270361892487,0.121335203629236,0.130619692446861,0.339866011442702,0.0131316668476442,0.33096102003072,0.348265829669286,0.358709945955356,0.0128431365048431,0.350720955101265,0.36927313302386,-0.0492650571641277,0.252005355432325,-0.210745804872404,0.118992368657883,0.0140488825383316,0.0865234713682581,-0.031415333133048,0.0688836735148413,0.0121327456376077,0.0986742673390249,-0.0421730967979378,0.0671682360724903,3.20251909637768,0.188315106692649,3.06820250442431,3.31311335461558,1.80443154417221,0.124713814440469,1.71643375762327,1.89362571989439,1.46139696490272,0.169908850412287,1.35976083912016,1.53090165803058,0.495645224852127,0.0352829810169681,0.471829105473965,0.518513700024889,0.512683695612395,0.0250333271476118,0.492867663334979,0.52988819717952,0.508916806748577,0.0246967119659515,0.493032459589782,0.524343372689645,-0.00625110036248619,0.0322360965625878,-0.0268161766675904,0.0152520116538905,0.00470082004986568,0.0297577732680983,-0.0110498639195024,0.0236698901336567,0.00440695139842103,0.0353894104368689,-0.0152113569117416,0.0238106824157085,0.984788753985057,0.0100380843034588,0.978433580674126,0.991153250068362,0.97013252251004,0.0129529441440095,0.96244913982239,0.978894437132762,0.977505781766472,0.0115339498319491,0.971348772380223,0.984173336797936,0.0110650135488248,0.00851620064246576,0.00482148765244529,0.0168582887931673,0.00302585588417105,0.00808562492764224,-0.00173783849544556,0.00783048614497071,-0.00393299056178423,0.00762029907150529,-0.00894419742390101,0.00133182750297157,-0.103876184954405,0.0715860800219566,-0.14370751299549,-0.0628632687791388,-0.111080541002929,0.0593151241237282,-0.150612229348304,-0.0757737987160612,0.283509735304469,0.057757780938897,0.242881640127592,0.33184988513476,-0.11494119850323,0.0682192456142748,-0.152708423956737,-0.073089740465733,-0.1141063968871,0.0585476630124091,-0.153571259631171,-0.0803189517742015,0.287442725866253,0.0575430104479418,0.250250820884476,0.333550768767281
"Miss_Lev_4","Global",100,0.187713724421664,0.010134691332351,0.178594788116631,0.193667450163063,0.474457360874855,0.0128233713737868,0.4677729874687,0.482848221230148,0.384653089032558,0.0120659368541456,0.375979377935372,0.392092118873329,0.0729026949265019,1.25240322413593,-0.460716048479434,0.597438013631101,0.0364470327425929,0.846771657145935,-0.405436942213065,0.505110163378489,-0.00430134470118828,0.9694017850757,-0.48184646553235,0.470447554949898,6.88473371496684,3.19235224413794,4.84650458926051,8.8008908586724,6.01514715521406,2.31841966029621,4.50550645500621,7.3589369836597,6.66942894003529,2.79750571674046,5.00615741402952,7.55382675473235,0.625264754701101,0.261597035768019,0.495529411764706,0.932827589077589,0.644355578000522,0.192090124340562,0.527035784518205,0.742000805456971,0.694387598688701,0.194863723065693,0.567074251284778,0.895839827866631,0.013677591664078,0.234559326974194,-0.0885084292024634,0.110321004818601,0.0184110851745161,0.402110062493974,-0.197558579138211,0.244077919793431,-0.00169838174994549,0.376687281555831,-0.183454079556308,0.180254707203813,1.11243741886045,0.298520701840055,0.949659443587995,1.21576004465371,1.16894781363107,0.520808588544418,0.863041976916714,1.24329860002411,1.10306755884648,0.41612293458782,0.889553055085038,1.12188815653504,0.0249905734758613,0.127155892856346,-0.0200409271878036,0.102827663336241,0.0174048294867303,0.142418457408491,-0.0704141174628921,0.110319767217032,-0.177635092215202,0.350610466135452,-0.462711034053634,0.107828122340759,-0.0845860010522863,0.127918256111171,-0.174767270370822,0.00969881227823231,-0.095814504640058,0.160493116570358,-0.217530414522581,0.0222323141859403,0.112347101267112,0.351814697182056,-0.164095338812324,0.420654989184591,-0.109576574528148,0.0761519150040894,-0.167527749432887,-0.0580470306797454,-0.113219334126788,0.0625284729970666,-0.157231177028818,-0.0792751124906586,0.289982193482313,0.0672889934880599,0.253301984941584,0.331574563880716
"Miss_Lev_4","SiteLocal",100,0.187713724421664,0.010134691332351,0.178594788116631,0.193667450163063,0.474457360874855,0.0128233713737868,0.4677729874687,0.482848221230148,0.384653089032558,0.0120659368541456,0.375979377935372,0.392092118873329,0.0377925783678853,0.202786030440318,-0.0847345867846719,0.166686824616437,-0.00220442645494955,0.10946707067458,-0.069196420834368,0.0737726736347158,0.000490868385956479,0.128386645478043,-0.0798330612708481,0.0768177606746943,3.31859499869777,0.175514736414183,3.20916048023659,3.41915837426054,2.20860135464947,0.158782489979642,2.09544244250726,2.28087758267518,1.92606122690017,0.132174958852905,1.85488666183499,1.99352590035013,0.496059769124237,0.0321287629571376,0.476712656097409,0.516457316472789,0.531991789030258,0.0219066120485862,0.516726631203882,0.547711518041392,0.547254771078574,0.0265748185822609,0.528579742032174,0.565704243574263,0.00698967430467798,0.038097745693512,-0.0146951457478277,0.0312256202913314,-0.000937590636469488,0.0518959004337684,-0.0321278742059079,0.0346508934567689,0.000297374344621848,0.0494700211475405,-0.0309883313814691,0.0311178999891027,0.969826311555347,0.0120919752039279,0.963955341786343,0.979331252668885,0.948785599516626,0.0235843979979281,0.934190480203426,0.960751175261354,0.967951198443561,0.0178501226443688,0.955465055844272,0.979374724689716,0.0159689540049327,0.0117390408856589,0.00850315436399932,0.0231346597335832,0.00149239939099264,0.00993440646480622,-0.0065557084739833,0.00829537503440101,-0.0154263753466412,0.0144215904827739,-0.0242770442643448,-0.00571610615362211,-0.0936076205232149,0.0774335731389709,-0.149936998436671,-0.0385702766317042,-0.111726934735796,0.0654142807825915,-0.162433212742854,-0.076646480330789,0.274555818135672,0.0698046158551056,0.229862295729949,0.313675900393003,-0.109576574528148,0.0761519150040894,-0.167527749432887,-0.0580470306797454,-0.113219334126788,0.0625284729970666,-0.157231177028818,-0.0792751124906586,0.289982193482313,0.0672889934880599,0.253301984941584,0.331574563880716
"Miss_Lev_5","Global",100,0.267252132432577,0.0124669233493029,0.258583597254725,0.276358192665354,0.618169909303626,0.0129476142910293,0.608974355488906,0.627951543906951,0.384494766706532,0.0137434260118713,0.374252201384688,0.39495711356067,0.100391681784541,0.998232644641256,-0.245677446246381,0.437772462927519,-0.0703678548846233,0.840065460001349,-0.457023730704173,0.362033712339798,0.0870441689472164,0.787781793985266,-0.265640706553564,0.497039075429806,5.76140638754356,2.49769497917414,3.72040572781517,6.32617164071528,5.59321315122148,1.99637431259563,4.50293689866261,6.31427569355705,6.40486225816815,2.34605832692936,5.13350627305007,7.3076076580743,0.657152854622109,0.202425894249317,0.504132603652906,0.875597677595628,0.665837316309163,0.188104760403766,0.540983025154225,0.86094469277111,0.656738099830103,0.156857046805147,0.551894643647632,0.771269808602593,0.0251120033102879,0.266810661398259,-0.0631225999717764,0.118184242100956,-0.0445923244008119,0.521947511886236,-0.279273036675675,0.223179764394055,0.0340570842879423,0.303348498577501,-0.102984329436495,0.193822579393281,1.04100512832997,0.265366476098691,0.917960660797456,1.04920185438898,1.04924492429748,0.551430249540413,0.781985172758602,1.01567653661412,1.06798174748161,0.32040484296727,0.88702863185809,1.0760481632252,0.0509213787177153,0.128090303847436,-0.00262534653557949,0.0954385615569146,0.020425636755347,0.161042287939014,-0.0646199276556427,0.108785061988439,-0.185361031780941,0.361767796205607,-0.47210656309036,0.138896615539399,-0.0690532566143248,0.134974724619766,-0.133974980099899,-0.00872685395584583,-0.0963296926592996,0.157897729043397,-0.188159542777446,-0.00475593155012875,0.103892414545581,0.35691726837284,-0.190520371961075,0.387142699366683,-0.11997463533204,0.0655891586947369,-0.158178741828084,-0.0777629907348847,-0.116755329414647,0.0540791552027368,-0.150516874113463,-0.0840451790245931,0.289253446326522,0.0573351467979129,0.245159703887278,0.327400999802775
"Miss_Lev_5","SiteLocal",100,0.267252132432577,0.0124669233493029,0.258583597254725,0.276358192665354,0.618169909303626,0.0129476142910293,0.608974355488906,0.627951543906951,0.384494766706532,0.0137434260118713,0.374252201384688,0.39495711356067,0.00196985924210595,0.189442566411857,-0.103873244481553,0.116495586863501,0.010071422615058,0.196263735923697,-0.136770560270162,0.151504995468455,0.0190373458284519,0.178261500349872,-0.11734773461326,0.134412777261381,3.44487053992006,0.132293669004735,3.35856581167943,3.51622164881053,2.71055641635333,0.158491904095521,2.60203973109256,2.78481742580032,2.49999905634042,0.140716743210568,2.42726587346055,2.56965197826971,0.487698117664749,0.0278100410324649,0.469220852469583,0.507031622437629,0.517303899927104,0.0217530378398107,0.502979218235726,0.531138972849719,0.540121065474872,0.0252239845163102,0.525761546020308,0.558084518980924,0.000417479847278479,0.0504641543645858,-0.0277253123482204,0.031692962970713,0.00637358856337561,0.121503525731036,-0.0843546381095507,0.0919753965912823,0.00705669121513106,0.067909463360214,-0.0440452832767901,0.051248177788924,0.956756577918002,0.0171112988642715,0.945400182225886,0.969238204007785,0.919008975077525,0.0309385340915029,0.897095003636604,0.940254219113185,0.957488553498501,0.0222470468000902,0.945867544991053,0.972959331824405,0.0241617179002675,0.0224150519812751,0.0077695938049416,0.0379939769542257,-0.00254714707208646,0.0142601836142991,-0.0119693782538532,0.00660602486836799,-0.0418434504534169,0.0245154184408655,-0.0573937340164373,-0.0280835977085888,-0.0958129174317726,0.0719064840710756,-0.132741897053226,-0.0556904283626637,-0.119302476486733,0.0581789020587117,-0.153265263665617,-0.0816737550534739,0.247409995873105,0.0618053957577679,0.19979340667316,0.288929258757017,-0.11997463533204,0.0655891586947369,-0.158178741828084,-0.0777629907348847,-0.116755329414647,0.0540791552027368,-0.150516874113463,-0.0840451790245931,0.289253446326522,0.0573351467979129,0.245159703887278,0.327400999802775
